"sender_ref","receiver_ref","start_time_ref","timestamp","value","est_distance","measured_power","environment_var"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780464151","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780465241","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780466407","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780467582","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780468543","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780469677","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780470762","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780471912","-79","0.8576959","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780472923","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780473994","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780475072","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780476198","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780477245","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780478337","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780479456","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780480517","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780481631","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780482663","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780483755","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612780334749","1612780484869","-81","1.0","-81","3"
